case_name,numBuses,ebMaxKwh,numChargers,chargerPower,chargerEff,routes,emMaxKwh,emChargePower,emDischargePower,emChargeEff,emDischargeEff,solarMaxPower,gridMaxPower,obj_val,sol_time,date,type
baseline,10,675,3,75,0.94,"[2, 9, 25, 98, 102, 134, 210, 6, 212, 69]",1000,500,500,0.9,0.9,250,500,468.0261534567552,52.90381383895874,03/29/2023,dynamic
flex_test 12,10,675,3,75,0.94,"[222, 2, 258, 7, 140, 26, 154, 121, 84, 192]",1000,500,500,0.9,0.9,250,500,703.4514879228502,130.92320609092712,03/29/2023,dynamic
flex_test 7,10,675,3,75,0.94,"[189, 51, 254, 222, 139, 8, 226, 98, 149, 183]",1000,500,500,0.9,0.9,250,500,961.231592887394,128.503564119339,03/29/2023,dynamic
flex_test 10,10,675,3,75,0.94,"[93, 143, 106, 28, 117, 16, 83, 279, 85, 108]",1000,500,500,0.9,0.9,250,500,446.24236196738025,40.002376079559326,03/29/2023,dynamic
flex_test 15,10,675,3,75,0.94,"[65, 136, 54, 17, 81, 74, 72, 83, 134, 10]",1000,500,500,0.9,0.9,250,500,444.3353233158168,56.31193685531616,03/29/2023,dynamic
flex_test 7,10,675,3,75,0.94,"[119, 246, 261, 96, 128, 104, 53, 48, 210, 198]",1000,500,500,0.9,0.9,250,500,1126.6341254529807,373.1616418361664,03/29/2023,dynamic
flex_test 11,10,675,3,75,0.94,"[12, 15, 16, 120, 154, 241, 135, 114, 72, 157]",1000,500,500,0.9,0.9,250,500,136.47650277076067,155.43485617637634,03/29/2023,dynamic
flex_test 11,10,675,3,75,0.94,"[12, 15, 16, 120, 154, 241, 135, 114, 72, 157]",1000,500,500,0.9,0.9,250,500,154.59769291813012,24.548470973968502,03/29/2023,static
flex_test 16,10,675,3,75,0.94,"[24, 49, 85, 216, 74, 155, 109, 47, 147, 126]",1000,500,500,0.9,0.9,250,500,1189.156854185284,246.29937887191767,03/29/2023,dynamic
flex_test 29,10,675,3,75,0.94,"[72, 48, 84, 223, 106, 174, 49, 191, 158, 93]",1000,500,500,0.9,0.9,250,500,896.185965350146,361.0439200401306,03/29/2023,dynamic
flex_test 30,10,675,3,75,0.94,"[135, 6, 199, 184, 253, 204, 93, 67, 167, 222]",1000,500,500,0.9,0.9,250,500,775.6396938822706,338.718652009964,03/29/2023,dynamic
flex_test 35,10,675,3,75,0.94,"[219, 68, 108, 152, 204, 241, 126, 87, 116, 22]",1000,500,500,0.9,0.9,250,500,761.6382291364905,481.9146599769592,03/29/2023,dynamic
flex_test 0,10,675,3,75,0.94,"[162, 101, 212, 76, 256, 244, 144, 80, 74, 126]",1000,500,500,0.9,0.9,250,500,742.6869535067274,128.07518100738525,03/29/2023,dynamic
flex_test 0,10,675,3,75,0.94,"[162, 101, 212, 76, 256, 244, 144, 80, 74, 126]",1000,500,500,0.9,0.9,250,500,741.847818175028,50.91394591331482,03/29/2023,static
flex_test 38,10,675,3,75,0.94,"[183, 22, 3, 138, 265, 122, 208, 36, 96, 23]",1000,500,500,0.9,0.9,250,500,1962.044633248904,64313.70829296112,03/30/2023,dynamic
flex_test 12,10,675,3,75,0.94,"[222, 2, 258, 7, 140, 26, 154, 121, 84, 192]",1000,500,500,0.9,0.9,250,500,783.0326571250936,4.361935138702393,03/30/2023,static
flex_test 7,10,675,3,75,0.94,"[189, 51, 254, 222, 139, 8, 226, 98, 149, 183]",1000,500,500,0.9,0.9,250,500,1098.0479510312548,4.0691869258880615,03/30/2023,static
flex_test 10,10,675,3,75,0.94,"[93, 143, 106, 28, 117, 16, 83, 279, 85, 108]",1000,500,500,0.9,0.9,250,500,446.2423619673787,25.139895915985107,03/30/2023,static
flex_test 15,10,675,3,75,0.94,"[65, 136, 54, 17, 81, 74, 72, 83, 134, 10]",1000,500,500,0.9,0.9,250,500,451.58696815451947,7.6961259841918945,03/30/2023,static
flex_test 7,10,675,3,75,0.94,"[119, 246, 261, 96, 128, 104, 53, 48, 210, 198]",1000,500,500,0.9,0.9,250,500,1169.3754759581734,3.756553888320923,03/30/2023,static
flex_test 16,10,675,3,75,0.94,"[24, 49, 85, 216, 74, 155, 109, 47, 147, 126]",1000,500,500,0.9,0.9,250,500,1188.7220872924358,9.26934289932251,03/30/2023,static
flex_test 29,10,675,3,75,0.94,"[72, 48, 84, 223, 106, 174, 49, 191, 158, 93]",1000,500,500,0.9,0.9,250,500,969.9166016387594,3.886242866516113,03/30/2023,static
flex_test 30,10,675,3,75,0.94,"[135, 6, 199, 184, 253, 204, 93, 67, 167, 222]",1000,500,500,0.9,0.9,250,500,945.3563024465716,14.871361017227173,03/30/2023,static
flex_test 35,10,675,3,75,0.94,"[219, 68, 108, 152, 204, 241, 126, 87, 116, 22]",1000,500,500,0.9,0.9,250,500,834.27135504325,4.595334768295288,03/30/2023,static
flex_test 38,10,675,3,75,0.94,"[119, 246, 261, 96, 128, 104, 53, 48, 210, 198]",1000,500,500,0.9,0.9,250,500,1169.3754759581734,4.8746631145477295,04/21/2023,static
flex_test 38,10,675,3,75,0.94,"[119, 246, 261, 96, 128, 104, 53, 48, 210, 198]",1000,500,500,0.9,0.9,250,500,1169.3754759581734,4.095196008682251,04/21/2023,static
